OpenTime,Open,High,Low,Close,Volume,TradesCount
2026-06-12 08:00:00,63100.8,63615.84,63100.8,63470.81,600.81984,111909
2026-06-12 09:00:00,63470.81,63953.84,63438.0,63752.93,524.52211,125971
2026-06-12 10:00:00,63752.93,63852.0,63588.34,63702.01,872.53513,112577
2026-06-12 11:00:00,63702.01,63884.49,63684.44,63766.01,380.80932,101744
2026-06-12 12:00:00,63766.01,63775.0,63378.0,63465.51,515.59574,139597
2026-06-12 13:00:00,63465.52,63532.59,63045.29,63229.1,851.49099,224729
2026-06-12 14:00:00,63229.1,64000.0,63190.0,63999.99,1065.08825,316830
2026-06-12 15:00:00,63999.99,64394.44,63551.9,63593.02,1669.96199,343557
2026-06-12 16:00:00,63593.02,63996.0,63510.16,63982.48,776.01025,226580
2026-06-12 17:00:00,63982.48,64111.1,63745.99,63865.44,456.29271,136089
2026-06-12 18:00:00,63865.45,63934.34,63686.0,63694.0,561.84193,129355
2026-06-12 19:00:00,63694.01,63830.93,63589.27,63589.27,462.65176,101591
2026-06-12 20:00:00,63589.28,63696.41,63400.0,63449.0,328.72463,95014
2026-06-12 21:00:00,63449.01,63624.62,63440.01,63472.0,330.50626,64100
2026-06-12 22:00:00,63471.99,63658.0,63471.99,63502.0,711.15075,76081
2026-06-12 23:00:00,63502.0,63580.01,63426.83,63580.01,409.24822,58933
2026-06-13 00:00:00,63580.0,63652.11,63507.39,63600.01,578.94188,60854
2026-06-13 01:00:00,63600.01,63840.0,63600.01,63837.89,509.63359,65923
2026-06-13 02:00:00,63837.88,63837.89,63558.0,63646.01,450.79285,56169
2026-06-13 03:00:00,63646.01,63720.88,63418.66,63532.0,268.55023,53464
2026-06-13 04:00:00,63532.0,63663.91,63484.0,63512.01,144.15296,42309
2026-06-13 05:00:00,63512.01,63596.0,63493.16,63584.03,658.62782,69594
2026-06-13 06:00:00,63584.03,63740.0,63550.51,63735.74,299.54013,42399
2026-06-13 07:00:00,63736.0,63883.47,63674.98,63846.0,436.97737,65554
2026-06-13 08:00:00,63845.99,63910.0,63766.18,63806.0,227.43934,50077
2026-06-13 09:00:00,63806.0,63867.65,63742.57,63743.12,301.95833,47455
2026-06-13 10:00:00,63743.13,63908.48,63726.57,63843.01,188.76787,50825
2026-06-13 11:00:00,63843.01,63984.53,63843.01,63971.28,479.05156,52612
2026-06-13 12:00:00,63971.28,64214.0,63921.33,64133.12,878.04841,73333
2026-06-13 13:00:00,64133.12,64245.88,64060.0,64102.69,499.73169,87468
2026-06-13 14:00:00,64102.61,64233.73,64090.09,64220.97,206.46033,54400
2026-06-13 15:00:00,64220.96,64350.0,64186.97,64296.15,584.92205,75246
2026-06-13 16:00:00,64296.15,64307.52,63920.05,64029.17,720.7481,115524
2026-06-13 17:00:00,64029.17,64120.0,63944.0,63971.19,301.75645,70427
2026-06-13 18:00:00,63971.2,64282.19,63971.19,64161.46,278.72154,56803
2026-06-13 19:00:00,64161.46,64333.62,64152.0,64296.59,308.7181,51650
2026-06-13 20:00:00,64296.59,64296.6,64226.83,64278.31,179.3189,38177
2026-06-13 21:00:00,64278.31,64762.77,64226.38,64471.04,552.39519,90869
2026-06-13 22:00:00,64471.04,64556.0,64383.61,64456.47,316.2712,61500
2026-06-13 23:00:00,64456.46,64596.99,64382.42,64458.01,589.21574,56377
2026-06-14 00:00:00,64458.01,64579.03,64380.7,64565.0,595.05205,63329
2026-06-14 01:00:00,64565.01,64710.0,64507.25,64563.0,821.19702,74962
2026-06-14 02:00:00,64563.0,64636.0,64476.01,64490.01,260.23317,40920
2026-06-14 03:00:00,64490.01,64545.4,64466.0,64545.3,155.67419,35537
2026-06-14 04:00:00,64545.3,64563.48,64325.61,64339.07,253.74802,39870
2026-06-14 05:00:00,64339.07,64411.2,64293.41,64338.0,429.46847,39743
2026-06-14 06:00:00,64338.0,64487.8,64232.12,64286.1,839.75348,77432
2026-06-14 07:00:00,64286.1,64445.95,64214.0,64429.39,256.82492,38351
2026-06-14 08:00:00,64429.39,64513.82,64392.0,64456.33,192.66954,34947
2026-06-14 09:00:00,64456.33,64617.99,64321.18,64616.0,237.3813,48596
2026-06-14 10:00:00,64616.0,64664.0,64498.01,64521.13,184.13016,41286
2026-06-14 11:00:00,64521.13,64641.9,64460.0,64546.0,228.11339,41163
2026-06-14 12:00:00,64546.01,64560.66,64295.06,64327.53,334.09454,51704
2026-06-14 13:00:00,64327.54,64398.14,64244.0,64317.99,308.61157,72148
2026-06-14 14:00:00,64318.0,64341.43,63866.66,63983.55,781.47067,122488
2026-06-14 15:00:00,63983.56,64153.75,63980.35,64025.07,366.74561,69486
2026-06-14 16:00:00,64025.06,64208.92,63936.0,63942.63,256.58722,65207
